bins	taxon	total_length	num_contigs	N50	GC_content	percent_completion	percent_redundancy
Bin_0	Unknown	3228200	857	5158	50.401488564473205	71.83098591549296	21.12676056338028
Bin_1	None	64979	43	1466	42.164461599926405	0.0	0.0
Bin_10	None	893921	512	1672	45.241171234410395	0.0	0.0
Bin_100	Unknown	2282518	822	3261	33.44566813173642	92.95774647887323	77.46478873239437
Bin_101	None	91651	54	1725	45.225161540457115	0.0	0.0
Bin_102	Unknown	1368867	285	5607	37.62048322379201	69.01408450704226	5.633802816901408
Bin_103	None	15994	10	1580	33.338418258976844	0.0	0.0
Bin_104	Unknown_Viruses	299065	72	5789	39.757557763372894	0.0	0.0
Bin_105	Unknown	4341739	1271	4234	48.43823808526146	97.1830985915493	5.633802816901408
Bin_106	Octadecabacter	4081537	421	15595	54.03104387073299	92.95774647887323	18.309859154929576
Bin_107	Prasinovirus	2173302	680	4470	39.167126120548254	39.436619718309856	0.0
Bin_108	Unknown_Gammaproteobacteria	1779358	692	2806	43.952989198954704	60.563380281690144	0.0
Bin_109	Unknown	88131	67	1302	42.27548741203261	0.0	0.0
Bin_11	Micromonas	6187237	4258	1437	59.086656167001195	28.91566265060241	1.2048192771084338
Bin_110	Unknown_Viruses	1053370	555	1900	44.88694105393721	0.0	0.0
Bin_111	Emiliania	1271852	724	1762	63.36486294152731	0.0	0.0
Bin_112	None	581117	154	5234	32.57254229287192	0.0	0.0
Bin_113	Unknown	2186030	1113	2078	47.87773074455997	32.394366197183096	1.408450704225352
Bin_114	Formosa	1617368	860	1941	37.25488810789606	0.0	0.0
Bin_115	None	26056468	15312	1720	62.8726106497043	27.710843373493976	1.2048192771084338
Bin_116	Burkholderia	6916436	2067	4180	66.72064378136882	97.1830985915493	5.633802816901408
Bin_117	Unknown_Cryomorphaceae	1323935	576	2529	29.867967669459993	63.38028169014085	8.450704225352112
Bin_118	None	33156	17	2335	34.15459145770201	0.0	0.0
Bin_119	Alcanivorax	6030	3	1985	61.42461970808429	0.0	0.0
Bin_12	None	1424703	278	6674	35.75348733956129	0.0	0.0
Bin_120	Alteromonas	5245914	524	23634	43.68744078233323	100.0	5.633802816901408
Bin_121	None	3084621	718	5619	31.64804790791797	0.0	0.0
Bin_122	None	92364	25	4793	43.271445842147976	0.0	0.0
Bin_123	Candidatus Pelagibacter	6167437	3846	1528	31.860527240304965	97.1830985915493	229.57746478873239
Bin_124	Ilumatobacter	2472312	999	2830	61.97379805150041	66.19718309859155	2.816901408450704
Bin_125	Unknown	3842915	1460	3281	36.5581978139687	91.54929577464789	32.394366197183096
Bin_126	Unknown_Viruses	677248	113	9096	35.23034641904517	0.0	0.0
Bin_127	None	1142	1	1142	50.78809106830122	0.0	0.0
Bin_128	Bathycoccus	11411653	2857	4394	48.46061908753123	72.28915662650603	1.2048192771084338
Bin_129	None	461614	336	1335	40.97094771478061	0.0	0.0
Bin_13	None	1112	1	1112	46.672661870503596	0.0	0.0
Bin_130	Unknown_Halieaceae	5753957	682	13612	53.7747015265296	98.59154929577464	87.32394366197182
Bin_131	Unknown	12168759	9074	1295	31.775102293562952	95.77464788732394	325.3521126760563
Bin_132	Unknown_Viruses	4252807	2351	1867	35.665805202591855	0.0	0.0
Bin_133	Unknown_Viruses	80531	4	47472	35.8256689771973	0.0	0.0
Bin_134	Unknown_Viruses	2453496	1393	1753	37.19941206174586	0.0	0.0
Bin_135	Unknown	7178	4	1761	59.20494894157133	0.0	0.0
Bin_136	Unknown	1437260	697	2186	31.236225666293567	95.77464788732394	61.971830985915496
Bin_137	None	635658	404	1562	37.39384414364055	0.0	0.0
Bin_138	None	4629	3	2433	39.24651418322605	0.0	0.0
Bin_139	None	11956895	6653	1771	43.435436351752436	81.69014084507042	87.32394366197182
Bin_14	Unknown	81897	45	1850	45.001914872225136	0.0	0.0
Bin_140	None	244226	94	2805	42.442493173173	0.0	0.0
Bin_141	Unknown	1344331	256	7218	33.87187098458385	88.73239436619718	15.492957746478874
Bin_142	None	184565	126	1428	47.67863035035887	0.0	0.0
Bin_143	Formosa	1922934	624	3828	35.44067504568196	52.11267605633803	8.450704225352112
Bin_144	Unknown_Viruses	3461083	412	12641	36.70440470949426	0.0	0.0
Bin_145	Unknown_Candidatus_Thalassoarchaea	2622188	366	9736	37.9741711839835	92.10526315789474	76.3157894736842
Bin_146	Unknown	1809235	529	3744	38.87833356673414	50.70422535211268	0.0
Bin_147	Bathycoccus	1225533	293	8081	40.900358396948455	30.985915492957748	80.28169014084507
Bin_148	None	1512	1	1512	59.85449735449735	0.0	0.0
Bin_149	None	3725650	2745	1296	53.129336604544896	0.0	0.0
Bin_15	Alteromonas	642740	201	4869	43.84127747353596	0.0	0.0
Bin_150	None	5379095	3408	1499	58.897314979115315	0.0	0.0
Bin_151	Unknown	2608828	1813	1398	46.59265572877094	47.88732394366197	7.042253521126761
Bin_152	Polaribacter	4550340	458	15200	34.385086148345444	97.1830985915493	88.73239436619718
Bin_153	None	165018	79	2433	38.95082344716815	0.0	0.0
Bin_154	Unknown_Viruses	144813	6	54525	42.533552011912995	0.0	0.0
Bin_155	Unknown	18685978	12540	1447	33.534899447350995	100.0	508.4507042253521
Bin_156	Planktomarina	5813300	2626	2479	48.27570870553333	80.28169014084507	83.09859154929578
Bin_157	None	792197	495	1613	60.16404591573492	0.0	0.0
Bin_158	Unknown	1487317	801	1870	31.255924157358827	85.91549295774648	22.535211267605632
Bin_159	Unknown	2376558	347	11464	44.09554001818918	92.95774647887323	4.225352112676056
Bin_16	Unknown_Gammaproteobacteria	5490544	2032	3287	37.25189919355242	100.0	301.40845070422534
Bin_160	Candidatus Pelagibacter	3568637	1597	2424	31.51012444854078	91.54929577464789	83.09859154929578
Bin_161	Candidatus Pelagibacter	10332600	6692	1416	30.92442683106159	100.0	674.6478873239437
Bin_162	Unknown_Cryomorphaceae	2112239	1260	1689	32.20207905366371	81.69014084507042	11.267605633802816
Bin_163	Unknown	4554600	2172	2270	31.880833089002923	98.59154929577464	221.1267605633803
Bin_164	None	9872709	6147	1580	41.12851060140134	0.0	0.0
Bin_165	None	593867	334	1835	28.685386076437013	0.0	0.0
Bin_166	Unknown	5694795	776	8870	35.41910446205318	100.0	245.07042253521126
Bin_167	None	983453	481	2213	48.039528106610966	0.0	0.0
Bin_168	Unknown	2436519	399	24766	45.579391876374395	92.95774647887323	11.267605633802816
Bin_169	None	426998	152	3474	61.669329594364655	0.0	0.0
Bin_17	Unknown	1843808	601	3471	32.53144416473409	67.6056338028169	23.943661971830984
Bin_170	None	1094	1	1094	42.59597806215722	0.0	0.0
Bin_171	Unknown_Opitutaceae	214947	66	3913	50.710927253713635	0.0	0.0
Bin_172	Unknown_Alphaproteobacteria	1987410	219	12716	36.21566854647898	87.32394366197182	4.225352112676056
Bin_173	None	1581990	782	2083	33.127321079194004	0.0	0.0
Bin_174	Nitrosopumilus	3024415	2029	1453	31.782372905772586	94.73684210526316	184.21052631578948
Bin_175	Unknown_Porticoccaceae	6175915	847	12899	45.666041108120666	100.0	104.22535211267606
Bin_176	Candidatus Puniceispirillum	3202456	1982	1582	49.93621328458028	88.73239436619718	38.028169014084504
Bin_177	Unknown_Actinobacteria	2829428	1886	1483	49.07471000769675	70.4225352112676	39.436619718309856
Bin_178	Candidatus Pelagibacter	10604304	8110	1260	30.886699485023954	91.54929577464789	550.7042253521126
Bin_179	None	8791	7	1173	32.94263306563341	0.0	0.0
Bin_18	None	14952745	8838	1715	53.277242399853634	49.397590361445786	7.228915662650603
